user_id,passion,hobby,education_level,age,skills,openness,conscientiousness,extraversion,agreeableness,neuroticism,salary_importance,work_life_balance,career_title,risk_tolerance,creativity_score,analytical_thinking,people_orientation,detail_oriented,stress_tolerance
user_0027,Magic,Reading,Bachelor's,44,"Empathy, Leadership, Public Speaking",3,8,1,5,3,6,7,Elementary Teacher,2.0,3.0,10.0,2.0,8.0,7.0
user_0028,Writing,Yoga,High School,63,"Conflict Resolution, Programming",8,4,8,9,3,6,5,Psychologist,2.0,6.0,7.0,6.0,7.0,7.0
user_0029,Photography,Painting,Associate's,25,"Graphic Design, UI/UX Design",5,9,7,5,7,7,5,Graphic Designer,5.0,2.0,8.0,5.0,9.0,8.0
user_0030,Technology,Scuba Diving,Bachelor's,40,"Data Analysis, Programming",5,7,3,7,4,8,2,Software Engineer,10.0,4.0,9.0,4.0,9.0,7.0
user_0031,Cars,Fishing,Master's,42,"Conflict Resolution, Data Analysis, Electrical Repair, Negotiation, Time Management",4,7,5,6,3,10,3,Social Worker,6.0,6.0,9.0,3.0,8.0,8.0
user_0032,Dancing,Playing Guitar,Associate's,25,"Cybersecurity, Negotiation, Project Management",4,10,6,8,5,9,4,Psychologist,4.0,5.0,10.0,4.0,9.0,8.0
user_0033,Cooking,Bird Watching,Doctorate,52,"Carpentry, Singing, Writing",10,6,6,9,3,5,6,Lawyer,2.0,8.0,7.0,9.0,6.0,6.0
user_0034,Technology,Reading,Bachelor's,26,"Robotics, Singing, Video Editing",7,6,4,4,6,6,8,Plumber,4.0,7.0,6.0,3.0,8.0,7.0
user_0035,Music,Painting,Associate's,27,"Graphic Design, UI/UX Design",4,8,4,5,3,7,8,Graphic Designer,5.0,6.0,5.0,1.0,6.0,8.0
user_0036,Environment,Running,Associate's,52,"Empathy, Sewing",8,10,5,5,4,6,4,Marketing Manager,4.0,6.0,7.0,3.0,8.0,8.0
user_0037,Art,Video Gaming,Associate's,40,"Conflict Resolution, Electrical Repair",6,10,3,6,5,5,8,Plumber,2.0,5.0,8.0,4.0,8.0,9.0
user_0038,Art,Painting,Bachelor's,39,"Graphic Design, UI/UX Design",6,7,9,10,8,3,6,Graphic Designer,5.0,4.0,8.0,7.0,10.0,8.0
user_0039,Art,Chess,Doctorate,26,"Cybersecurity, Digital Marketing, Project Management",4,6,3,8,3,6,3,UX Designer,6.0,6.0,7.0,9.0,8.0,7.0
user_0040,Reading,Knitting,Bachelor's,22,"Leadership, Video Editing",7,5,5,9,7,5,8,Journalist,6.0,8.0,2.0,9.0,4.0,4.0
user_0041,Environment,Rock Climbing,Doctorate,23,"Conflict Resolution, Cybersecurity, Driving, Financial Literacy, Negotiation",4,7,9,6,3,9,4,Plumber,4.0,7.0,6.0,8.0,8.0,7.0
user_0042,Gardening,Singing,Associate's,39,"Conflict Resolution, Time Management, Writing",10,4,5,7,5,5,8,Marketing Manager,5.0,8.0,8.0,8.0,7.0,6.0
user_0043,Collecting,Cooking,Bachelor's,47,"Foreign Languages, Photography",10,8,7,7,5,5,9,UX Designer,2.0,10.0,4.0,9.0,7.0,9.0
user_0044,Entrepreneurship,Knitting,Master's,37,"Critical Thinking, Data Analysis, Programming",3,5,4,8,6,5,6,Data Scientist,3.0,5.0,10.0,2.0,6.0,8.0
user_0045,Fashion,Reading,High School,62,"Conflict Resolution, Data Analysis, Foreign Languages, Robotics",5,8,1,6,2,8,3,Dentist,4.0,6.0,9.0,3.0,8.0,9.0
user_0046,Volunteering,Board Games,Bachelor's,31,"Leadership, Public Speaking",8,6,5,7,5,9,3,Elementary Teacher,8.0,7.0,4.0,5.0,4.0,7.0
user_0048,Sports,Skiing,High School,33,"Conflict Resolution, Cybersecurity, Programming, Sewing",9,2,5,8,7,6,8,Electrician,9.0,9.0,6.0,8.0,10.0,5.0
user_0049,Cars,Gardening,Vocational,49,"AI Prompt Engineering, Data Analysis, Digital Marketing, Financial Literacy, Writing",8,3,4,7,4,5,8,Chef,6.0,6.0,4.0,5.0,7.0,4.0
user_0050,Meditation,Meditation,Bachelor's,41,"Graphic Design, Sewing, Writing",5,10,4,4,6,7,4,Plumber,1.0,6.0,6.0,3.0,6.0,10.0
user_0051,Art,Astronomy,Bachelor's,50,"Cybersecurity, Financial Literacy, Leadership, Sewing",10,7,4,7,5,5,7,UX Designer,1.0,8.0,4.0,5.0,5.0,7.0
user_0052,Sports,Photography,Associate's,23,"Project Management, Research, Singing",6,7,3,4,3,10,4,Civil Engineer,6.0,7.0,8.0,2.0,8.0,6.0
user_0053,Magic,Reading,Bachelor's,41,"Critical Thinking, Empathy, First Aid",3,7,6,9,3,10,4,Registered Nurse,5.0,3.0,4.0,7.0,7.0,8.0
user_0054,Languages,Singing,Doctorate,34,"Empathy, Negotiation, Project Management",8,5,3,4,4,5,8,Social Worker,4.0,8.0,6.0,3.0,9.0,7.0
user_0055,Animals,Chess,Doctorate,25,"Critical Thinking, Data Analysis, Programming",6,7,5,9,1,6,4,Data Scientist,6.0,3.0,9.0,4.0,9.0,8.0
user_0056,Collecting,Gardening,Master's,26,"Critical Thinking, Programming",9,4,8,7,6,5,4,Software Engineer,8.0,8.0,4.0,6.0,5.0,6.0
user_0057,Technology,Cycling,Master's,61,"Carpentry, Digital Marketing",6,10,8,8,6,8,3,Sales Representative,8.0,5.0,3.0,5.0,4.0,7.0
user_0058,Writing,Running,Bachelor's,18,"Critical Thinking, Photography, Research, Time Management",9,7,7,6,7,5,10,Psychologist,5.0,5.0,5.0,8.0,2.0,4.0
user_0059,Environment,Hiking,Doctorate,52,"Programming, Project Management, UI/UX Design",9,4,7,10,6,5,4,Environmental Scientist,4.0,9.0,4.0,5.0,6.0,7.0
user_0060,Gaming,Reading,Vocational,38,"Critical Thinking, Data Analysis",10,5,8,6,6,5,4,Software Engineer,9.0,9.0,5.0,6.0,5.0,6.0
user_0061,Psychology,Origami,Associate's,47,"Data Analysis, Time Management",6,7,6,9,4,7,7,Lawyer,5.0,7.0,7.0,3.0,6.0,5.0
user_0063,Acting,Board Games,Master's,24,"Carpentry, Data Analysis, Electrical Repair",4,7,9,10,7,4,8,Financial Analyst,10.0,5.0,5.0,6.0,7.0,5.0
user_0064,Fitness,Video Gaming,Associate's,25,"Carpentry, Research",3,9,6,8,3,5,7,Farm Worker,6.0,3.0,8.0,7.0,5.0,8.0
user_0065,Photography,Dancing,Bachelor's,50,"Critical Thinking, Driving",8,7,6,4,5,5,6,HR Manager,3.0,8.0,1.0,6.0,4.0,4.0
user_0066,Dancing,Video Gaming,High School,26,"Programming, Public Speaking",7,10,4,5,7,8,4,Electrician,8.0,5.0,9.0,4.0,9.0,8.0
user_0067,Sports,Traveling,High School,19,"Photography, Weightlifting",7,7,3,5,3,7,5,Sales Representative,1.0,8.0,7.0,6.0,4.0,5.0
user_0069,History,Collecting Stamps,Vocational,59,"Foreign Languages, Singing, Weightlifting, Writing",10,3,6,7,4,5,8,Biomedical Engineer,3.0,10.0,4.0,6.0,6.0,5.0
user_0070,Cars,Origami,Master's,33,"Research, Video Editing",5,9,2,6,4,4,3,Financial Analyst,7.0,5.0,8.0,2.0,9.0,8.0
user_0071,Entrepreneurship,Chess,Vocational,19,"AI Prompt Engineering, Digital Marketing, Programming, Weightlifting",4,10,3,4,1,5,8,Psychologist,2.0,5.0,7.0,7.0,5.0,5.0
user_0073,Animals,Reading,Doctorate,62,"Photography, Project Management, Robotics, Time Management",5,6,2,8,4,5,8,UX Designer,8.0,4.0,9.0,5.0,8.0,9.0
user_0074,Photography,Bird Watching,Master's,34,"Critical Thinking, Empathy",5,7,5,4,5,5,7,Registered Nurse,5.0,5.0,9.0,6.0,10.0,6.0
user_0075,Volunteering,Rock Climbing,Associate's,22,"Cybersecurity, Driving, Time Management, Video Editing",2,7,4,7,4,8,4,Plumber,1.0,3.0,9.0,3.0,8.0,10.0
user_0076,Cars,Bird Watching,Doctorate,38,"Cybersecurity, Singing, Weightlifting",8,3,6,7,3,7,4,Actor,2.0,10.0,6.0,8.0,4.0,5.0
user_0077,Psychology,Yoga,Vocational,29,"Cybersecurity, Time Management",9,6,10,5,6,6,6,Mechanic,9.0,8.0,5.0,10.0,5.0,4.0
user_0078,Cars,Meditation,High School,49,"Cooking, Empathy, Graphic Design",7,7,4,7,4,9,3,Electrician,5.0,3.0,6.0,3.0,7.0,7.0
user_0079,Photography,Chess,High School,45,"Critical Thinking, Programming",6,5,4,6,4,7,4,Software Engineer,6.0,7.0,9.0,4.0,7.0,10.0
user_0080,Entrepreneurship,Cycling,Bachelor's,54,"Carpentry, Electrical Repair, Graphic Design",8,8,4,4,3,5,3,Architect,5.0,9.0,7.0,5.0,8.0,6.0
user_0081,Cooking,Origami,Bachelor's,28,"Singing, Weightlifting",7,6,7,8,4,6,4,Psychologist,3.0,5.0,7.0,6.0,8.0,8.0
user_0082,Cooking,Collecting Stamps,Bachelor's,28,"Cooking, Data Analysis",5,6,9,9,6,5,3,Journalist,1.0,3.0,7.0,8.0,7.0,5.0
user_0083,Photography,Cycling,High School,43,"Foreign Languages, Negotiation, Programming, Project Management, Public Speaking",9,8,10,5,4,7,4,Chef,5.0,10.0,8.0,7.0,5.0,7.0
user_0084,Cooking,Skiing,Associate's,23,"Conflict Resolution, Critical Thinking, Data Analysis, Research, Video Editing",2,7,3,5,3,9,3,Financial Analyst,3.0,5.0,10.0,3.0,10.0,8.0
user_0085,Chess,Knitting,Associate's,29,"Digital Marketing, Electrical Repair, First Aid, Public Speaking, Robotics",4,10,3,7,4,5,7,Construction Worker,2.0,5.0,9.0,8.0,8.0,8.0
user_0086,Gaming,Swimming,Master's,32,"Robotics, Video Editing",5,7,3,7,6,5,8,Actor,5.0,5.0,6.0,4.0,7.0,7.0
user_0087,Writing,Knitting,Doctorate,20,"Data Analysis, Electrical Repair, Sewing",6,5,6,8,3,10,3,Chef,9.0,5.0,8.0,4.0,8.0,4.0
user_0088,Reading,Singing,Doctorate,34,"Critical Thinking, Data Analysis, Programming",4,7,2,5,3,7,10,Data Scientist,4.0,7.0,8.0,5.0,8.0,6.0
user_0089,Collecting,Reading,Doctorate,57,"Data Analysis, Foreign Languages, Project Management, Sewing, Time Management",10,4,6,8,7,6,7,UX Designer,6.0,10.0,5.0,6.0,5.0,4.0
user_0090,Reading,Chess,Bachelor's,59,"AI Prompt Engineering, Carpentry, Public Speaking, Time Management, Writing",7,8,5,7,6,3,5,Statistician,3.0,6.0,7.0,4.0,9.0,9.0
user_0091,Chess,Origami,Associate's,62,"Empathy, Public Speaking, Writing",5,8,5,8,4,4,5,AI Engineer,9.0,5.0,6.0,6.0,9.0,4.0
user_0092,Astronomy,Rock Climbing,Doctorate,61,"Conflict Resolution, Digital Marketing",7,8,4,8,4,3,7,Cybersecurity Specialist,10.0,8.0,8.0,4.0,7.0,6.0
user_0093,Writing,Hiking,Bachelor's,31,"Conflict Resolution, Empathy, Leadership, Sewing, Writing",8,6,9,4,5,10,2,Journalist,8.0,4.0,7.0,9.0,10.0,8.0
user_0094,Acting,Board Games,Master's,54,"Carpentry, Photography",7,10,1,2,5,6,6,AI Engineer,2.0,7.0,6.0,5.0,8.0,7.0
user_0095,Travel,Chess,Associate's,47,"Data Analysis, Driving, Financial Literacy, Programming, UI/UX Design",5,9,9,5,6,6,2,HR Manager,5.0,5.0,5.0,7.0,7.0,7.0
user_0096,Gaming,Dancing,Associate's,28,"Cybersecurity, Empathy, Graphic Design, Robotics",8,5,5,9,5,5,7,Sales Representative,1.0,10.0,5.0,7.0,5.0,5.0
user_0097,Photography,Skiing,Vocational,61,"Financial Literacy, First Aid, Foreign Languages",9,6,7,8,5,6,10,Plumber,10.0,10.0,3.0,9.0,4.0,8.0
user_0098,Music,Playing Guitar,Associate's,56,"Cybersecurity, Financial Literacy, First Aid, Foreign Languages",8,6,5,5,4,4,8,Actor,2.0,5.0,7.0,1.0,5.0,5.0
user_0099,Volunteering,Singing,Master's,43,"Leadership, Programming",10,6,6,5,4,7,9,Dentist,8.0,8.0,8.0,9.0,5.0,6.0
user_0100,Writing,Fishing,Associate's,58,"Conflict Resolution, Cybersecurity, Financial Literacy, First Aid",6,4,3,4,2,6,9,Pilot,2.0,5.0,10.0,4.0,7.0,7.0
user_0102,Animals,Singing,Vocational,39,"Driving, Financial Literacy, Singing",7,8,7,4,6,5,5,HR Manager,3.0,6.0,7.0,3.0,7.0,7.0
user_0103,Dancing,Bird Watching,Vocational,65,"Empathy, Research, Sewing, Singing",9,4,6,10,8,6,9,Chef,8.0,9.0,5.0,7.0,5.0,7.0
user_0104,Languages,Origami,Associate's,41,"Conflict Resolution, Critical Thinking, Electrical Repair, Time Management",4,6,5,7,3,3,6,Lawyer,3.0,7.0,7.0,2.0,9.0,6.0
user_0105,Chess,Hiking,Master's,25,"Conflict Resolution, Critical Thinking, Foreign Languages, Leadership, Public Speaking",9,7,10,5,3,5,7,Pilot,9.0,8.0,8.0,6.0,10.0,5.0
user_0106,Gardening,Rock Climbing,Doctorate,29,"Cooking, Writing",5,8,4,6,3,7,2,Civil Engineer,10.0,4.0,7.0,5.0,8.0,8.0
user_0107,Environment,Cooking,Master's,28,"AI Prompt Engineering, Graphic Design, Project Management, Research, Sewing",7,2,8,6,4,4,6,Environmental Scientist,4.0,4.0,5.0,8.0,6.0,6.0
user_0109,Cooking,Photography,High School,37,"AI Prompt Engineering, Electrical Repair, Empathy, Leadership",9,5,7,9,5,4,8,Chef,5.0,10.0,7.0,8.0,5.0,7.0
user_0110,Travel,Cooking,Bachelor's,19,"Digital Marketing, Empathy, Project Management",5,6,8,9,6,6,9,Environmental Scientist,6.0,5.0,7.0,4.0,8.0,6.0
user_0111,Cars,Astronomy,High School,42,"AI Prompt Engineering, Public Speaking, Sewing, Singing",7,2,10,8,6,5,7,HR Manager,9.0,4.0,7.0,5.0,6.0,4.0
user_0112,Entrepreneurship,Cycling,Master's,34,"Cybersecurity, Driving, Financial Literacy, Photography, Project Management",5,7,8,9,5,7,9,Farm Worker,2.0,6.0,10.0,6.0,7.0,5.0
user_0113,Psychology,Painting,Bachelor's,24,"Critical Thinking, Data Analysis",10,6,7,5,8,4,7,Biomedical Engineer,4.0,7.0,5.0,5.0,4.0,5.0
user_0114,Technology,Scuba Diving,Bachelor's,36,"Public Speaking, Singing, Writing",8,8,6,6,4,5,7,Financial Analyst,6.0,9.0,9.0,2.0,8.0,5.0
user_0115,Dancing,Singing,Master's,60,"Empathy, Graphic Design, Leadership, Project Management, Sewing",7,10,3,6,4,4,8,UX Designer,10.0,8.0,6.0,1.0,10.0,8.0
user_0116,Cooking,Reading,Doctorate,42,"Critical Thinking, Empathy, First Aid",3,5,4,5,6,7,7,Registered Nurse,4.0,6.0,7.0,8.0,10.0,8.0
user_0117,Sports,Origami,Doctorate,23,"Carpentry, Cooking, Data Analysis, Robotics",1,10,2,4,5,4,7,Biomedical Engineer,4.0,8.0,10.0,5.0,9.0,6.0
user_0118,Chess,Astronomy,Vocational,25,"Cybersecurity, Empathy, Public Speaking",9,8,4,5,3,6,7,Journalist,2.0,7.0,5.0,3.0,6.0,8.0
user_0120,Animals,Playing Guitar,Doctorate,39,"Driving, Foreign Languages",9,2,6,7,3,6,9,Mechanic,2.0,9.0,4.0,7.0,5.0,3.0
user_0121,Magic,Rock Climbing,Associate's,32,"Critical Thinking, First Aid",8,7,4,6,5,3,6,Registered Nurse,6.0,8.0,6.0,3.0,5.0,4.0
user_0122,Entrepreneurship,Knitting,Vocational,23,"Conflict Resolution, Electrical Repair, Graphic Design, Research, Time Management",6,6,2,7,4,9,4,Journalist,9.0,9.0,6.0,4.0,6.0,3.0
user_0123,Reading,Gardening,Master's,53,"Graphic Design, Robotics",7,5,7,7,5,5,6,AI Engineer,5.0,8.0,5.0,6.0,6.0,2.0
user_0124,Technology,Singing,High School,32,"AI Prompt Engineering, Cooking, Sewing, Singing, Writing",9,3,7,9,3,6,8,Psychologist,8.0,10.0,8.0,7.0,6.0,4.0
user_0125,Meditation,Skiing,Associate's,53,"Cybersecurity, Data Analysis, Public Speaking, Weightlifting",8,4,6,5,5,8,3,Construction Worker,9.0,7.0,5.0,5.0,5.0,8.0
user_0126,Travel,Cycling,Bachelor's,31,"Cooking, Cybersecurity, Photography, Research, Robotics",9,6,4,7,7,4,8,Financial Analyst,10.0,7.0,7.0,7.0,3.0,6.0
user_0127,Animals,Pottery,Vocational,49,"Empathy, Leadership",5,9,5,5,4,8,3,Dentist,8.0,2.0,8.0,3.0,7.0,6.0
user_0128,Animals,Cooking,Doctorate,26,"Driving, Video Editing",10,5,5,6,7,4,6,HR Manager,8.0,9.0,8.0,7.0,5.0,6.0
user_0129,Psychology,Board Games,Vocational,35,"Cooking, Critical Thinking, Electrical Repair, Project Management, Research",6,7,5,7,2,5,8,UX Designer,7.0,4.0,5.0,4.0,6.0,10.0
user_0130,DIY,Traveling,Master's,58,"AI Prompt Engineering, Cybersecurity, Photography",9,8,6,8,6,4,5,HR Manager,2.0,8.0,6.0,6.0,5.0,5.0
user_0131,Dancing,Board Games,Associate's,53,"Cybersecurity, Driving, Empathy, Foreign Languages, Time Management",6,9,3,4,5,5,6,HR Manager,7.0,6.0,8.0,3.0,9.0,6.0
user_0132,Acting,Gardening,Doctorate,21,"First Aid, Research, Sewing",6,9,10,6,4,5,7,AI Engineer,7.0,5.0,6.0,8.0,7.0,8.0
user_0133,Gaming,Gardening,Associate's,46,"AI Prompt Engineering, Conflict Resolution",6,7,6,9,5,5,7,Environmental Scientist,8.0,3.0,5.0,6.0,5.0,6.0
user_0135,Animals,Running,Doctorate,56,"Empathy, Photography, Sewing",10,6,8,7,6,7,4,Environmental Scientist,2.0,7.0,2.0,9.0,3.0,7.0
user_0136,Volunteering,Chess,Master's,38,"Empathy, Leadership",6,5,4,7,4,6,10,Elementary Teacher,7.0,4.0,7.0,4.0,5.0,6.0
user_0138,Gaming,Running,Bachelor's,23,"Digital Marketing, Driving, Photography, Weightlifting",5,10,1,3,6,3,7,Lawyer,2.0,5.0,6.0,5.0,7.0,5.0
user_0139,Gaming,Singing,Doctorate,18,"Driving, Negotiation",10,4,10,6,7,5,5,Pilot,4.0,9.0,6.0,9.0,5.0,7.0
user_0140,Magic,Astronomy,High School,42,"Critical Thinking, Empathy, Programming, Singing",9,3,10,7,5,9,3,AI Engineer,9.0,9.0,2.0,5.0,6.0,6.0
user_0141,Chess,Skiing,Vocational,38,"Carpentry, Data Analysis",4,7,8,10,6,6,9,Chef,3.0,4.0,4.0,9.0,6.0,7.0
user_0142,Dancing,Hiking,Master's,62,"Driving, Empathy, Financial Literacy, Graphic Design, Robotics",7,7,7,10,4,4,7,Cybersecurity Specialist,3.0,7.0,7.0,7.0,9.0,6.0
user_0144,Entrepreneurship,Rock Climbing,Master's,27,"Critical Thinking, Data Analysis, Programming",9,6,8,6,5,10,4,Data Scientist,2.0,9.0,4.0,9.0,5.0,4.0
user_0145,Photography,Painting,Doctorate,43,"Critical Thinking, Driving, Financial Literacy, Project Management",6,8,7,7,5,3,4,Architect,9.0,5.0,6.0,7.0,8.0,6.0
user_0146,Gaming,Video Gaming,Doctorate,45,"Critical Thinking, Data Analysis, Programming",8,10,4,9,5,7,7,Software Engineer,1.0,5.0,9.0,4.0,9.0,5.0
user_0147,Dancing,Cooking,Doctorate,54,"Conflict Resolution, Sewing",9,4,7,4,4,5,7,Financial Analyst,9.0,10.0,8.0,8.0,4.0,6.0
user_0149,Animals,Painting,Master's,54,"Carpentry, Cooking, Foreign Languages, Research",9,7,6,5,5,5,6,HR Manager,4.0,9.0,5.0,1.0,5.0,5.0
user_0151,Gaming,Hiking,Associate's,64,"Empathy, Graphic Design",7,6,5,8,4,5,5,Statistician,8.0,5.0,8.0,8.0,7.0,4.0
user_0152,Magic,Gardening,Master's,34,"Financial Literacy, Negotiation, Project Management, Sewing, Video Editing",7,4,5,4,5,6,9,Financial Analyst,7.0,8.0,7.0,7.0,3.0,3.0
user_0153,Entrepreneurship,Playing Guitar,Master's,48,"Critical Thinking, Data Analysis, Programming",9,8,3,4,4,7,7,Data Scientist,3.0,9.0,10.0,6.0,7.0,8.0
user_0154,Environment,Bird Watching,Vocational,22,"Digital Marketing, Driving, Negotiation, Public Speaking",6,4,7,8,4,6,6,Electrician,1.0,3.0,7.0,6.0,5.0,10.0
user_0155,Animals,Pottery,Associate's,38,"Critical Thinking, Empathy, First Aid",5,9,9,8,4,6,7,Registered Nurse,5.0,6.0,5.0,7.0,8.0,5.0
user_0156,Photography,Pottery,Bachelor's,40,"AI Prompt Engineering, Research, Weightlifting, Writing",5,7,2,4,3,4,8,UX Designer,8.0,6.0,9.0,2.0,10.0,8.0
user_0157,Cars,Chess,Vocational,27,"AI Prompt Engineering, Carpentry, Negotiation",6,6,5,7,5,7,4,Social Worker,7.0,6.0,8.0,9.0,5.0,8.0
user_0158,Travel,Meditation,Vocational,59,"Digital Marketing, Programming, Project Management, Public Speaking, Time Management",10,4,8,3,5,2,7,Pilot,9.0,9.0,3.0,9.0,4.0,8.0
user_0159,Magic,Knitting,Bachelor's,40,"Critical Thinking, Empathy",10,7,6,6,5,9,5,Registered Nurse,8.0,10.0,6.0,7.0,4.0,6.0
user_0160,Languages,Meditation,Vocational,57,"Carpentry, Cooking, Driving, Empathy",7,1,7,8,2,5,9,Civil Engineer,4.0,7.0,5.0,10.0,5.0,7.0
user_0161,Dancing,Reading,Vocational,51,"AI Prompt Engineering, Carpentry, Data Analysis, Project Management, Robotics",6,10,8,4,3,8,7,Civil Engineer,4.0,5.0,8.0,10.0,8.0,8.0
user_0162,Technology,Board Games,Doctorate,40,"Critical Thinking, Data Analysis, Programming",7,5,5,5,4,8,5,Data Scientist,10.0,10.0,8.0,2.0,7.0,5.0
user_0163,Acting,Chess,Bachelor's,32,"AI Prompt Engineering, Critical Thinking",10,3,9,4,7,5,7,Lawyer,9.0,10.0,5.0,9.0,6.0,5.0
user_0164,Dancing,Pottery,High School,42,"Cooking, Cybersecurity, Research",8,6,3,7,4,5,4,Social Worker,6.0,7.0,6.0,4.0,10.0,8.0
user_0165,Collecting,Running,Bachelor's,54,"AI Prompt Engineering, Driving, First Aid, Video Editing",8,10,3,6,3,5,6,Marketing Manager,1.0,8.0,7.0,5.0,9.0,3.0
user_0166,Gaming,Bird Watching,Associate's,37,"Cybersecurity, Empathy, Sewing, Video Editing",5,9,5,6,4,6,5,Architect,8.0,4.0,9.0,6.0,7.0,6.0
user_0167,Entrepreneurship,Astronomy,Associate's,53,"Carpentry, Video Editing",6,8,1,6,5,4,6,Social Worker,9.0,4.0,7.0,4.0,10.0,7.0
user_0168,Technology,Gardening,Doctorate,43,"Critical Thinking, Data Analysis, Programming",8,4,6,5,8,5,6,Data Scientist,1.0,8.0,6.0,9.0,6.0,6.0
user_0169,Art,Astronomy,Master's,50,"AI Prompt Engineering, Carpentry, Driving",5,8,3,7,2,9,3,Financial Analyst,2.0,6.0,8.0,5.0,9.0,8.0
user_0170,Entrepreneurship,Dancing,Doctorate,43,"Empathy, Leadership, Photography, Programming, Time Management",6,7,5,3,4,10,5,Environmental Scientist,3.0,8.0,6.0,2.0,8.0,7.0
user_0171,Meditation,Chess,Vocational,56,"Electrical Repair, UI/UX Design, Video Editing",8,8,4,7,5,6,6,Construction Worker,10.0,7.0,9.0,6.0,7.0,8.0
