user_id,openness,conscientiousness,extraversion,agreeableness,neuroticism,risk_tolerance,creativity_score,analytical_thinking,people_orientation,detail_oriented,stress_tolerance
user_0055,6,7,5,9,1,6,3,9,4,9,8
user_0056,9,4,8,7,6,8,8,4,6,5,6
user_0057,6,10,8,8,6,8,5,3,5,4,7
user_0058,9,7,7,6,7,5,5,5,8,2,4
user_0059,9,4,7,10,6,4,9,4,5,6,7
user_0060,10,5,8,6,6,9,9,5,6,5,6
user_0061,6,7,6,9,4,5,7,7,3,6,5
user_0062,10,5,8,4,8,10,10,6,9,6,6
user_0063,4,7,9,10,7,10,5,5,6,7,5
user_0064,3,9,6,8,3,6,3,8,7,5,8
user_0065,8,7,6,4,5,3,8,1,6,4,4
user_0066,7,10,4,5,7,8,5,9,4,9,8
user_0067,7,7,3,5,3,1,8,7,6,4,5
user_0068,7,4,3,5,1,2,4,6,6,9,6
user_0069,10,3,6,7,4,3,10,4,6,6,5
user_0070,5,9,2,6,4,7,5,8,2,9,8
user_0071,4,10,3,4,1,2,5,7,7,5,5
user_0072,6,6,6,9,4,7,7,7,7,6,7
user_0073,5,6,2,8,4,8,4,9,5,8,9
user_0074,5,7,5,4,5,5,5,9,6,10,6
user_0075,2,7,4,7,4,1,3,9,3,8,10
user_0076,8,3,6,7,3,2,10,6,8,4,5
user_0077,9,6,10,5,6,9,8,5,10,5,4
user_0078,7,7,4,7,4,5,3,6,3,7,7
user_0079,6,5,4,6,4,6,7,9,4,7,10
user_0080,8,8,4,4,3,5,9,7,5,8,6
user_0081,7,6,7,8,4,3,5,7,6,8,8
user_0082,5,6,9,9,6,1,3,7,8,7,5
user_0083,9,8,10,5,4,5,10,8,7,5,7
user_0084,2,7,3,5,3,3,5,10,3,10,8
user_0085,4,10,3,7,4,2,5,9,8,8,8
user_0086,5,7,3,7,6,5,5,6,4,7,7
user_0087,6,5,6,8,3,9,5,8,4,8,4
user_0088,4,7,2,5,3,4,7,8,5,8,6
user_0089,10,4,6,8,7,6,10,5,6,5,4
user_0090,7,8,5,7,6,3,6,7,4,9,9
user_0091,5,8,5,8,4,9,5,6,6,9,4
user_0092,7,8,4,8,4,10,8,8,4,7,6
user_0093,8,6,9,4,5,8,4,7,9,10,8
user_0094,7,10,1,2,5,2,7,6,5,8,7
user_0095,5,9,9,5,6,5,5,5,7,7,7
user_0096,8,5,5,9,5,1,10,5,7,5,5
user_0097,9,6,7,8,5,10,10,3,9,4,8
user_0098,8,6,5,5,4,2,5,7,1,5,5
user_0099,10,6,6,5,4,8,8,8,9,5,6
user_0100,6,4,3,4,2,2,5,10,4,7,7
user_0101,8,9,4,5,5,9,6,9,4,9,8
user_0102,7,8,7,4,6,3,6,7,3,7,7
user_0103,9,4,6,10,8,8,9,5,7,5,7
user_0104,4,6,5,7,3,3,7,7,2,9,6
user_0105,9,7,10,5,3,9,8,8,6,10,5
user_0106,5,8,4,6,3,10,4,7,5,8,8
user_0107,7,2,8,6,4,4,4,5,8,6,6
user_0108,4,9,5,5,5,4,4,6,4,10,6
user_0109,9,5,7,9,5,5,10,7,8,5,7
user_0110,5,6,8,9,6,6,5,7,4,8,6
user_0111,7,2,10,8,6,9,4,7,5,6,4
user_0112,5,7,8,9,5,2,6,10,6,7,5
user_0113,10,6,7,5,8,4,7,5,5,4,5
user_0114,8,8,6,6,4,6,9,9,2,8,5
user_0115,7,10,3,6,4,10,8,6,1,10,8
user_0116,3,5,4,5,6,4,6,7,8,10,8
user_0117,1,10,2,4,5,4,8,10,5,9,6
user_0118,9,8,4,5,3,2,7,5,3,6,8
user_0119,10,8,9,3,3,1,10,4,7,6,8
user_0120,9,2,6,7,3,2,9,4,7,5,3
user_0121,8,7,4,6,5,6,8,6,3,5,4
user_0122,6,6,2,7,4,9,9,6,4,6,3
user_0123,7,5,7,7,5,5,8,5,6,6,2
user_0124,9,3,7,9,3,8,10,8,7,6,4
user_0125,8,4,6,5,5,9,7,5,5,5,8
user_0126,9,6,4,7,7,10,7,7,7,3,6
user_0127,5,9,5,5,4,8,2,8,3,7,6
user_0128,10,5,5,6,7,8,9,8,7,5,6
user_0129,6,7,5,7,2,7,4,5,4,6,10
user_0130,9,8,6,8,6,2,8,6,6,5,5
user_0131,6,9,3,4,5,7,6,8,3,9,6
user_0132,6,9,10,6,4,7,5,6,8,7,8
user_0133,6,7,6,9,5,8,3,5,6,5,6
user_0134,8,9,3,8,4,1,5,7,3,7,7
user_0135,10,6,8,7,6,2,7,2,9,3,7
user_0136,6,5,4,7,4,7,4,7,4,5,6
user_0137,9,6,8,4,6,6,9,5,6,5,8
user_0138,5,10,1,3,6,2,5,6,5,7,5
user_0139,10,4,10,6,7,4,9,6,9,5,7
user_0140,9,3,10,7,5,9,9,2,5,6,6
user_0141,4,7,8,10,6,3,4,4,9,6,7
user_0142,7,7,7,10,4,3,7,7,7,9,6
user_0143,7,9,8,4,2,8,4,10,7,7,8
user_0144,9,6,8,6,5,2,9,4,9,5,4
user_0145,6,8,7,7,5,9,5,6,7,8,6
user_0146,8,10,4,9,5,1,5,9,4,9,5
user_0147,9,4,7,4,4,9,10,8,8,4,6
user_0148,7,7,3,6,2,1,6,7,4,6,8
user_0149,9,7,6,5,5,4,9,5,1,5,5
user_0150,8,8,6,7,8,7,10,8,8,6,5
user_0151,7,6,5,8,4,8,5,8,8,7,4
user_0152,7,4,5,4,5,7,8,7,7,3,3
user_0153,9,8,3,4,4,3,9,10,6,7,8
user_0154,6,4,7,8,4,1,3,7,6,5,10
user_0155,5,9,9,8,4,5,6,5,7,8,5
user_0156,5,7,2,4,3,8,6,9,2,10,8
user_0157,6,6,5,7,5,7,6,8,9,5,8
user_0158,10,4,8,3,5,9,9,3,9,4,8
user_0159,10,7,6,6,5,8,10,6,7,4,6
user_0160,7,1,7,8,2,4,7,5,10,5,7
user_0161,6,10,8,4,3,4,5,8,10,8,8
user_0162,7,5,5,5,4,10,10,8,2,7,5
user_0163,10,3,9,4,7,9,10,5,9,6,5
user_0164,8,6,3,7,4,6,7,6,4,10,8
user_0165,8,10,3,6,3,1,8,7,5,9,3
user_0166,5,9,5,6,4,8,4,9,6,7,6
user_0167,6,8,1,6,5,9,4,7,4,10,7
user_0168,8,4,6,5,8,1,8,6,9,6,6
user_0169,5,8,3,7,2,2,6,8,5,9,8
user_0170,6,7,5,3,4,3,8,6,2,8,7
user_0171,8,8,4,7,5,10,7,9,6,7,8
user_0172,9,7,1,7,4,4,7,8,4,9,7
user_0173,6,6,8,9,3,2,7,6,8,7,4
user_0174,4,8,4,6,5,4,2,7,3,10,5
user_0175,4,8,5,8,2,10,5,10,5,9,6
user_0176,3,9,3,3,5,10,10,7,5,10,5
user_0177,10,9,4,3,4,7,6,10,3,8,6
user_0178,10,8,7,6,3,10,8,5,7,5,8
user_0179,2,8,2,8,4,9,2,8,3,9,5
user_0180,4,8,8,7,4,5,5,7,7,9,7
user_0181,10,4,5,4,3,6,6,5,7,2,4
user_0182,8,5,9,8,5,5,7,1,5,4,7
user_0183,5,7,6,8,5,3,6,5,9,6,6
user_0184,10,6,9,6,4,5,10,4,8,5,7
user_0185,5,4,6,9,5,6,4,8,5,8,6
user_0186,5,10,2,7,5,2,4,10,3,8,7
user_0187,7,9,5,3,6,8,5,9,5,6,7
user_0188,3,8,4,8,5,10,7,8,4,6,9
user_0189,9,10,2,5,4,2,8,6,4,7,7
user_0190,5,9,4,6,3,4,4,8,7,9,8
user_0191,6,8,6,7,3,5,5,6,3,7,7
user_0192,10,8,7,7,3,6,8,3,6,4,6
user_0193,5,9,2,6,8,4,6,4,3,9,4
user_0194,5,8,8,5,7,5,4,8,9,9,7
user_0195,9,4,7,6,6,8,8,5,6,6,6
user_0196,3,9,2,5,3,9,8,4,8,9,7
user_0197,9,6,8,6,5,5,10,5,7,5,5
user_0198,5,4,5,7,3,9,4,10,6,7,7
user_0199,6,5,3,7,6,9,8,9,4,7,6
user_0200,8,9,10,7,4,2,8,7,7,7,9
user_0201,7,4,5,6,3,5,9,5,5,5,4
user_0202,5,6,2,4,6,2,7,7,1,8,8
user_0203,10,6,10,4,1,9,10,8,9,6,7
user_0204,10,3,7,7,7,5,10,5,6,4,8
user_0205,5,7,8,6,2,10,8,8,8,7,7
user_0206,10,3,6,6,3,6,7,4,8,5,5
user_0207,10,4,7,6,6,5,8,1,6,7,4
user_0208,6,10,5,7,3,8,4,9,6,8,8
user_0209,7,8,6,2,3,1,5,7,8,7,5
user_0210,8,8,4,4,6,7,7,9,2,5,5
user_0211,6,6,2,7,2,5,8,6,4,7,7
user_0212,7,7,4,4,6,1,7,7,2,4,7
user_0213,10,9,8,5,4,3,7,6,10,9,6
user_0214,10,6,9,6,4,5,9,6,10,4,9
user_0215,9,5,7,7,5,8,10,2,5,4,8
user_0216,4,10,5,7,2,7,4,8,4,10,7
user_0217,3,9,5,8,6,1,3,7,3,8,7
user_0218,9,7,3,6,3,2,10,5,4,10,6
user_0219,9,5,7,8,1,3,10,3,7,5,6
user_0220,2,9,8,4,4,1,4,9,5,8,7
user_0221,8,7,5,4,2,6,6,10,4,7,8
user_0222,3,9,6,6,3,9,5,8,4,10,8
user_0223,8,4,8,6,5,7,10,7,6,2,4
user_0224,7,6,4,8,4,1,10,5,5,4,4
user_0225,7,8,10,3,6,6,7,6,7,7,6
user_0226,5,10,1,5,2,1,6,9,3,4,7
user_0227,7,8,10,4,5,4,8,5,9,7,8
user_0228,10,5,6,6,3,4,8,7,6,6,6
user_0229,7,4,9,4,4,2,10,7,7,5,4
user_0230,9,9,9,4,2,9,7,8,10,8,10
user_0231,7,6,3,6,6,7,10,8,3,8,6
user_0232,4,10,5,7,4,3,5,10,4,8,9
user_0233,9,6,7,9,5,3,10,3,6,6,4
user_0234,5,7,1,5,5,3,6,8,4,8,8
user_0235,7,7,7,8,1,1,7,6,5,8,7
user_0236,10,5,8,4,7,6,9,4,7,2,5
user_0237,4,5,1,7,3,7,8,7,1,6,6
user_0238,5,7,4,6,5,4,8,7,2,7,7
user_0239,5,6,9,5,4,3,5,7,7,9,6
user_0240,3,6,1,5,3,2,3,6,2,8,7
user_0241,4,7,6,8,7,1,8,5,8,8,8
user_0242,7,10,2,4,5,8,6,8,4,8,9
user_0243,10,6,6,6,3,4,9,5,6,6,6
user_0244,6,6,3,5,4,8,5,7,5,7,10
user_0245,9,10,7,7,3,5,7,8,8,6,9
user_0246,4,6,3,4,5,4,8,7,4,8,7
user_0247,9,6,7,5,7,1,10,3,7,6,6
user_0248,10,9,6,3,5,4,10,5,10,3,5
user_0249,5,9,9,7,4,6,7,6,6,7,9
user_0250,6,6,8,8,2,2,8,7,8,9,7
user_0251,6,9,3,5,2,5,4,10,5,5,9
user_0252,7,8,9,5,3,9,7,8,5,7,9
user_0253,6,10,7,8,6,9,6,7,7,10,8
user_0254,7,6,9,4,3,1,6,9,10,6,7
user_0255,6,6,3,5,8,5,8,5,3,9,3
user_0256,6,2,9,7,4,10,9,1,7,5,4
user_0257,5,8,7,6,2,1,6,6,9,9,8
user_0258,8,5,3,5,8,10,6,10,5,8,4
user_0259,6,7,6,10,6,6,5,5,6,5,7
user_0260,10,5,7,6,6,6,6,5,8,7,7
user_0261,3,7,6,7,4,10,5,6,3,8,5
user_0262,5,7,4,6,4,2,6,7,5,9,5
user_0263,7,8,7,10,5,10,4,9,8,6,7
user_0264,9,5,7,7,8,5,10,5,8,3,5
user_0265,10,7,2,5,3,7,6,7,1,8,5
user_0266,6,10,4,7,4,9,9,6,5,8,6
user_0267,4,6,4,4,4,9,3,9,2,8,7
user_0268,8,6,8,5,3,4,7,6,5,6,7
user_0269,8,7,8,7,4,7,7,8,6,9,7
user_0270,6,7,3,5,5,6,10,9,2,8,5
user_0271,5,10,8,8,4,6,6,9,5,8,5
user_0272,8,8,8,3,5,2,6,6,9,5,6
user_0273,10,5,6,8,7,5,10,7,10,4,7
user_0274,6,10,5,5,6,5,4,8,5,10,6
user_0275,10,6,8,6,1,7,9,6,6,6,7
user_0276,9,10,8,5,3,7,6,8,7,6,7
user_0277,10,4,9,5,5,5,10,5,8,5,7
user_0278,4,7,4,4,3,3,4,8,4,8,7
user_0279,10,4,5,5,5,7,8,3,5,4,5
user_0280,10,5,7,4,4,7,8,6,5,5,6
user_0281,10,10,8,4,4,3,7,5,6,7,7
user_0282,4,8,7,6,6,10,6,9,5,9,10
user_0283,6,9,8,3,3,7,9,9,8,9,8
user_0284,2,7,7,6,3,1,4,10,7,10,8
user_0285,7,5,10,4,4,5,5,7,7,7,8
user_0286,8,6,5,7,7,7,8,3,6,6,5
user_0287,5,8,2,7,4,10,5,6,2,8,6
user_0288,4,9,1,6,3,6,3,7,3,9,8
user_0289,2,3,6,9,1,8,5,6,9,6,6
user_0290,6,3,8,9,5,4,10,3,9,6,6
user_0291,4,8,4,7,1,8,6,8,3,8,6
user_0292,5,8,2,7,5,3,8,7,5,8,6
user_0293,8,7,7,5,5,2,10,5,8,8,5
user_0294,8,7,7,7,5,9,9,7,8,5,8
user_0295,10,5,8,5,5,10,8,6,3,5,9
user_0296,8,9,9,8,2,2,9,9,8,9,9
user_0297,4,7,3,4,5,4,5,8,3,5,7
user_0298,7,5,5,8,6,5,10,7,6,6,6
user_0299,9,6,8,7,3,4,7,4,7,3,2
user_0300,10,5,7,6,4,1,9,5,5,5,6
user_0301,5,6,3,8,5,4,5,8,1,9,7
user_0302,5,8,5,6,4,10,7,4,2,6,6
user_0303,7,7,3,7,1,2,5,8,4,7,7
user_0304,2,6,7,7,5,7,6,6,7,5,7
user_0305,10,6,7,6,6,10,6,7,7,6,5
user_0306,6,3,6,5,8,7,7,4,7,3,6
user_0307,6,6,6,8,2,7,6,9,7,7,5
user_0308,7,7,7,9,4,3,10,6,7,5,6
user_0309,10,6,5,4,4,1,10,5,9,3,6
user_0310,3,9,3,6,2,2,7,9,4,7,7
user_0311,4,9,6,7,2,7,6,6,4,8,10
user_0312,7,4,6,5,6,3,9,4,5,6,3
user_0313,5,7,4,5,3,9,7,5,5,8,8
user_0314,5,6,4,10,5,1,6,8,5,7,7
user_0315,6,5,4,6,4,4,5,7,3,8,9
user_0316,7,7,1,5,2,2,3,6,4,9,7
user_0317,5,7,6,7,3,3,3,6,7,6,7
user_0318,4,8,2,7,2,8,4,5,3,9,7
user_0319,10,6,6,5,3,9,10,4,9,7,4
user_0320,4,10,8,6,1,10,2,10,2,8,7
user_0321,7,8,9,7,2,8,5,6,10,9,7
user_0322,6,7,7,9,5,9,7,6,4,7,6
user_0323,4,8,9,10,5,9,4,5,8,8,7
user_0324,5,3,5,10,3,3,6,8,5,7,5
user_0325,10,10,5,7,4,8,10,6,6,6,9
user_0326,6,7,7,10,5,5,6,5,5,8,4
user_0327,5,8,2,7,4,4,8,6,3,8,7
user_0328,5,6,5,7,2,5,8,9,4,8,7
user_0329,4,8,1,7,1,9,8,7,3,7,8
user_0330,8,3,8,9,3,4,4,9,5,5,5
user_0331,7,6,9,4,5,8,8,8,9,10,8
user_0332,6,8,7,4,4,5,8,7,2,9,3
user_0333,9,3,4,7,7,5,9,4,6,3,4
user_0334,8,5,10,6,6,6,4,5,8,8,5
user_0335,6,8,3,8,2,2,7,8,7,10,8
user_0336,8,4,7,7,5,3,8,5,3,5,7
user_0337,7,2,4,4,4,7,10,4,7,5,5
user_0338,9,4,10,8,2,3,8,5,6,6,8
user_0339,10,7,8,7,6,4,9,4,8,7,6
user_0340,5,6,3,5,7,7,5,8,6,10,7
user_0341,6,7,7,8,5,6,2,8,7,6,3
user_0342,3,8,7,5,3,8,4,10,5,7,8
user_0343,5,6,7,9,2,1,7,7,9,7,5
user_0344,9,7,7,6,9,7,10,5,5,3,5
user_0345,6,6,7,10,6,10,4,6,5,6,7
user_0346,9,4,7,5,1,1,10,7,7,6,8
user_0347,8,10,4,7,4,10,3,7,4,7,8
user_0348,5,6,7,7,3,8,4,8,3,8,4
user_0349,7,4,3,5,3,6,7,10,4,6,9
user_0350,6,7,9,5,4,7,9,9,8,7,8
user_0351,7,7,4,6,3,7,3,8,3,8,8
user_0352,6,7,7,4,4,9,5,7,5,10,10
user_0353,6,4,2,8,3,10,4,7,7,5,9
user_0354,10,7,6,5,9,8,10,6,5,4,6
user_0355,9,7,8,5,8,5,9,6,9,3,6
user_0356,5,4,7,10,2,8,5,7,7,6,8
user_0357,8,6,1,7,6,7,8,8,5,8,5
user_0358,6,9,9,6,2,7,7,6,8,6,9
user_0359,10,7,10,4,5,3,8,4,6,7,7
user_0360,7,8,7,3,5,8,7,6,5,8,8
user_0361,7,3,10,7,7,10,7,3,8,2,6
user_0362,5,9,4,7,5,1,6,7,4,10,6
user_0363,3,7,4,9,7,10,4,5,8,4,7
user_0364,5,8,4,8,4,1,5,8,5,8,7
user_0365,7,7,2,5,3,7,6,8,4,9,7
user_0366,9,5,7,5,6,8,9,5,3,5,2
user_0367,8,3,7,7,7,1,7,6,7,4,5
user_0368,8,9,7,7,3,7,7,8,8,9,8
user_0369,5,7,9,7,4,4,5,10,9,9,8
user_0370,6,8,8,10,6,6,5,6,7,8,7
user_0371,8,10,7,4,3,7,7,7,10,8,7
user_0372,4,6,9,2,5,7,6,10,10,7,8
user_0373,8,10,6,3,3,2,7,8,10,6,10
user_0374,7,5,3,9,6,1,5,6,6,6,9
user_0375,8,6,8,6,3,9,9,2,8,8,9
user_0376,7,8,5,5,3,6,5,8,7,8,7
user_0377,9,4,5,8,6,2,9,3,8,5,6
user_0378,7,7,2,4,1,1,6,5,2,4,8
user_0379,5,7,2,4,4,1,5,8,2,8,6
user_0380,9,4,7,6,6,4,8,4,7,3,7
user_0381,3,5,2,6,2,1,6,8,1,8,6
user_0382,3,9,3,7,2,3,2,8,4,8,9
user_0383,8,5,6,7,4,3,10,3,7,6,5
user_0384,5,6,8,6,3,2,5,8,7,5,7
user_0385,4,7,6,4,6,4,6,10,4,8,10
user_0386,5,7,8,7,4,5,5,4,7,5,7
user_0387,5,6,3,5,3,6,4,8,6,8,6
user_0388,6,5,5,4,4,10,10,6,7,2,6
user_0389,5,9,2,5,3,2,5,5,4,9,6
user_0390,7,8,2,3,3,3,7,10,5,8,7
user_0391,6,7,10,4,6,2,6,9,6,8,9
user_0392,2,9,6,5,1,1,4,8,5,10,8
user_0393,9,8,8,3,3,10,6,9,9,6,7
user_0394,10,8,9,7,5,7,10,7,6,5,8
user_0395,6,8,6,5,4,4,7,7,7,6,8
user_0396,8,6,7,6,4,10,7,7,3,9,6
user_0397,8,8,8,7,4,4,10,6,5,9,5
user_0398,7,6,4,6,5,5,8,8,6,8,8
user_0399,8,10,8,4,4,10,2,8,3,10,9
user_0400,3,7,1,7,1,2,6,4,3,10,7
user_0401,4,7,4,6,1,10,6,3,3,7,7
user_0402,6,5,2,6,3,1,5,7,5,7,8
user_0403,10,5,6,7,2,9,6,6,8,10,6
user_0404,7,4,5,4,3,6,7,7,6,6,8
user_0405,8,9,1,6,6,9,7,9,8,7,6
user_0406,8,6,8,6,3,6,10,8,8,7,7
user_0407,9,8,2,6,3,7,7,8,4,6,5
user_0408,6,6,1,5,3,8,6,7,1,7,8
user_0409,8,6,6,3,6,7,7,9,4,9,7
user_0410,5,10,8,6,5,8,5,8,8,7,7
user_0411,7,4,10,7,4,3,10,5,10,5,6
user_0412,7,5,9,6,7,3,5,6,4,6,8
user_0413,9,5,9,6,5,9,8,4,10,4,4
user_0414,9,6,9,7,4,5,9,5,8,7,6
user_0415,5,10,5,7,1,9,1,9,4,8,7
user_0416,5,9,4,4,5,8,5,8,3,7,7
user_0417,6,7,6,6,4,7,7,6,6,8,8
user_0418,3,7,3,4,3,10,6,7,4,10,8
user_0419,7,7,7,5,3,6,7,10,7,7,8
user_0420,6,8,5,2,1,4,5,9,1,3,7
user_0421,6,6,2,4,4,2,5,8,1,6,9
user_0422,6,7,10,3,4,8,7,10,8,8,10
user_0423,5,6,6,8,3,8,9,7,7,5,5
user_0424,2,10,4,7,1,10,3,10,4,10,8
user_0425,7,7,7,7,5,7,7,6,10,6,7
user_0426,8,8,9,4,4,1,8,6,10,7,9
user_0427,7,6,8,8,4,6,6,7,4,5,5
user_0428,8,4,4,5,2,8,8,4,5,4,5
user_0429,10,2,8,8,4,6,9,4,7,7,5
user_0430,6,7,1,5,5,5,3,6,4,6,9
user_0431,6,5,7,7,2,5,4,7,10,7,8
user_0432,5,6,5,7,3,5,6,7,6,9,8
user_0433,4,8,6,5,2,1,6,8,6,10,8
user_0434,6,7,6,7,4,4,4,6,5,5,8
user_0435,9,8,6,7,4,4,8,7,1,6,7
user_0436,6,6,7,3,5,7,10,6,7,6,5
user_0437,6,5,7,10,4,9,9,6,7,5,6
user_0438,3,7,2,6,5,4,6,4,7,8,9
user_0439,10,6,6,6,4,8,9,4,5,6,6
user_0440,10,7,8,5,6,8,7,4,6,7,5
user_0441,6,8,5,9,4,1,7,6,6,7,5
user_0442,6,7,2,2,5,5,8,8,1,7,10
user_0443,10,3,8,8,4,7,7,5,5,5,6
user_0444,7,2,8,5,4,4,10,7,7,5,6
user_0445,4,8,9,7,1,10,5,6,9,8,5
user_0446,6,7,10,6,5,8,7,6,7,5,7
user_0447,6,10,6,8,3,9,3,10,5,9,7
user_0448,7,9,10,6,5,7,7,7,10,5,6
user_0449,8,6,6,6,4,9,7,6,7,7,6
user_0450,7,6,8,5,5,6,9,6,10,4,9
user_0451,8,3,5,6,4,8,10,7,8,6,7
user_0452,5,9,8,4,3,5,5,7,9,8,9
user_0453,6,9,9,9,5,4,8,5,10,7,8
user_0454,8,9,4,4,6,4,7,8,3,7,5
user_0455,5,10,6,5,4,2,7,7,8,8,8
user_0456,10,7,9,4,4,9,9,4,8,5,6
user_0457,4,10,2,6,5,3,5,9,2,10,7
user_0458,8,4,8,6,4,4,8,3,9,4,4
user_0459,10,4,7,7,4,8,10,7,9,5,8
user_0460,6,8,9,2,3,10,7,7,10,8,6
user_0461,5,9,6,7,2,9,5,7,4,9,9
user_0462,5,5,7,6,4,5,4,10,1,8,8
user_0463,7,10,2,7,5,4,9,6,2,9,6
user_0464,4,7,9,7,2,4,2,8,7,4,10
user_0465,8,8,8,8,4,3,9,5,8,5,8
user_0466,6,8,9,6,5,1,10,7,7,8,9
user_0467,10,5,7,5,6,9,9,5,10,4,6
user_0468,9,2,7,5,7,5,7,6,8,6,5
user_0469,7,7,6,4,3,1,8,6,2,5,7
user_0470,4,9,6,7,3,5,4,9,6,9,8
user_0471,8,3,8,6,5,3,9,8,7,7,7
user_0472,9,6,8,6,5,8,9,9,9,7,6
user_0473,9,8,4,5,4,1,3,8,3,10,6
user_0474,3,8,3,7,4,5,6,7,5,6,6
user_0475,6,7,7,9,7,8,5,7,5,5,6
user_0476,7,6,6,8,4,6,6,4,8,6,5
user_0477,7,6,8,7,4,1,9,3,6,6,4
user_0478,7,6,9,6,1,8,8,7,10,6,10
user_0479,8,8,1,4,9,2,7,9,3,4,7
user_0480,5,6,6,9,4,8,4,7,4,3,5
user_0481,8,7,1,4,4,10,5,6,4,10,7
user_0482,10,3,8,4,5,1,9,7,6,6,7
user_0483,8,4,5,6,5,3,9,5,8,6,7
user_0484,7,6,4,6,1,10,6,7,2,10,8
user_0485,5,8,10,5,5,2,7,4,8,7,7
user_0486,5,8,7,7,7,2,10,6,8,5,6
user_0487,4,7,3,4,3,7,2,9,4,9,8
user_0488,9,10,3,7,3,10,3,6,5,7,6
user_0489,7,10,2,6,4,10,5,6,6,8,7
user_0490,7,3,6,6,4,9,8,2,5,6,5
user_0491,5,5,5,8,5,8,7,6,5,7,8
user_0492,5,8,8,9,3,5,6,8,6,9,5
user_0493,8,8,4,8,4,10,5,7,4,6,8
user_0494,7,3,9,10,4,5,6,7,8,8,9
user_0495,5,8,5,5,6,10,6,7,2,8,7
user_0496,8,9,5,7,5,10,5,7,5,7,6
user_0497,9,4,7,6,4,2,9,4,9,5,4
user_0498,8,7,2,2,1,4,3,10,4,8,10
user_0499,8,7,8,5,5,4,10,5,8,6,3
user_0500,3,9,8,6,3,2,6,9,10,9,9
user_0501,8,4,4,6,7,4,7,6,7,3,6
user_0502,10,6,7,6,6,9,8,1,10,5,5
user_0503,7,6,3,3,8,3,6,6,3,9,6
user_0504,6,9,5,6,6,7,10,10,2,10,6
user_0505,6,4,6,7,6,10,7,3,6,8,7
user_0506,7,7,7,8,3,5,4,8,7,6,7
user_0507,7,9,3,3,6,4,7,8,6,7,6
user_0508,5,7,9,3,4,5,7,8,10,8,5
user_0509,8,6,8,4,6,8,10,5,8,6,8
user_0510,5,6,1,8,4,4,7,9,2,6,6
user_0511,8,8,9,6,4,10,7,6,9,6,7
user_0512,9,9,7,3,4,4,10,8,7,3,5
user_0513,3,6,6,8,6,2,4,6,6,7,6
