user_id,passion,hobby,education_level,age,skills,openness,conscientiousness,extraversion,agreeableness,neuroticism,salary_importance,work_life_balance,career_title
user_0050,Meditation,Meditation,Bachelor's,41,"Sewing,Writing,Graphic Design",5,10,4,4,6,7,4,Plumber
user_0051,Art,Astronomy,Bachelor's,50,"Financial Literacy,Cybersecurity,Leadership,Sewing",10,7,4,7,5,5,7,UX Designer
user_0052,Sports,Photography,Associate's,23,"Research,Project Management,Singing",6,7,3,4,3,10,4,Civil Engineer
user_0053,Magic,Reading,Bachelor's,41,"First Aid,Empathy,Critical Thinking",3,7,6,9,3,10,4,Registered Nurse
user_0054,Languages,Singing,Doctorate,34,"Negotiation,Project Management,Empathy",8,5,3,4,4,5,8,Social Worker
user_0055,Animals,Chess,Doctorate,25,"Critical Thinking,Data Analysis,Programming",6,7,5,9,1,6,4,Data Scientist
user_0056,Collecting,Gardening,Master's,26,"Programming,Critical Thinking",9,4,8,7,6,5,4,Software Engineer
user_0057,Technology,Cycling,Master's,61,"Carpentry,Digital Marketing",6,10,8,8,6,8,3,Sales Representative
user_0058,Writing,Running,Bachelor's,18,"Photography,Critical Thinking,Time Management,Research",9,7,7,6,7,5,10,Psychologist
user_0059,Environment,Hiking,Doctorate,52,"Project Management,Programming,UI/UX Design",9,4,7,10,6,5,4,Environmental Scientist
user_0060,Gaming,Reading,Vocational,38,"Critical Thinking,Data Analysis",10,5,8,6,6,5,4,Software Engineer
user_0061,Psychology,Origami,Associate's,47,"Time Management,Data Analysis",6,7,6,9,4,7,7,Lawyer
user_0062,Film,Painting,Vocational,36,"Conflict Resolution,Cooking,UI/UX Design,Research",10,5,8,4,8,5,8,Lawyer
user_0063,Acting,Board Games,Master's,24,"Data Analysis,Carpentry,Electrical Repair",4,7,9,10,7,4,8,Financial Analyst
user_0064,Fitness,Video Gaming,Associate's,25,"Carpentry,Research",3,9,6,8,3,5,7,Farm Worker
user_0065,Photography,Dancing,Bachelor's,50,"Driving,Critical Thinking",8,7,6,4,5,5,6,HR Manager
user_0066,Dancing,Video Gaming,High School,26,"Programming,Public Speaking",7,10,4,5,7,8,4,Electrician
user_0067,Sports,Traveling,High School,19,"Photography,Weightlifting",7,7,3,5,3,7,5,Sales Representative
user_0068,Animals,Fitness,High School,46,"Critical Thinking,Empathy,First Aid",7,4,3,5,1,6,5,Registered Nurse
user_0069,History,Collecting Stamps,Vocational,59,"Writing,Foreign Languages,Weightlifting,Singing",10,3,6,7,4,5,8,Biomedical Engineer
user_0070,Cars,Origami,Master's,33,"Video Editing,Research",5,9,2,6,4,4,3,Financial Analyst
user_0071,Entrepreneurship,Chess,Vocational,19,"AI Prompt Engineering,Digital Marketing,Programming,Weightlifting",4,10,3,4,1,5,8,Psychologist
user_0072,Film,Running,Associate's,44,"UI/UX Design,Creativity",6,6,6,9,4,5,9,Graphic Designer
user_0073,Animals,Reading,Doctorate,62,"Time Management,Project Management,Photography,Robotics",5,6,2,8,4,5,8,UX Designer
user_0074,Photography,Bird Watching,Master's,34,"Critical Thinking,Empathy",5,7,5,4,5,5,7,Registered Nurse
user_0075,Volunteering,Rock Climbing,Associate's,22,"Cybersecurity,Driving,Video Editing,Time Management",2,7,4,7,4,8,4,Plumber
user_0076,Cars,Bird Watching,Doctorate,38,"Cybersecurity,Singing,Weightlifting",8,3,6,7,3,7,4,Actor
user_0077,Psychology,Yoga,Vocational,29,"Cybersecurity,Time Management",9,6,10,5,6,6,6,Mechanic
user_0078,Cars,Meditation,High School,49,"Cooking,Empathy,Graphic Design",7,7,4,7,4,9,3,Electrician
user_0079,Photography,Chess,High School,45,"Programming,Critical Thinking",6,5,4,6,4,7,4,Software Engineer
user_0080,Entrepreneurship,Cycling,Bachelor's,54,"Carpentry,Electrical Repair,Graphic Design",8,8,4,4,3,5,3,Architect
user_0081,Cooking,Origami,Bachelor's,28,"Singing,Weightlifting",7,6,7,8,4,6,4,Psychologist
user_0082,Cooking,Collecting Stamps,Bachelor's,28,"Data Analysis,Cooking",5,6,9,9,6,5,3,Journalist
user_0083,Photography,Cycling,High School,43,"Project Management,Public Speaking,Negotiation,Programming,Foreign Languages",9,8,10,5,4,7,4,Chef
user_0084,Cooking,Skiing,Associate's,23,"Conflict Resolution,Data Analysis,Critical Thinking,Research,Video Editing",2,7,3,5,3,9,3,Financial Analyst
user_0085,Chess,Knitting,Associate's,29,"Public Speaking,First Aid,Electrical Repair,Digital Marketing,Robotics",4,10,3,7,4,5,7,Construction Worker
user_0086,Gaming,Swimming,Master's,32,"Robotics,Video Editing",5,7,3,7,6,5,8,Actor
user_0087,Writing,Knitting,Doctorate,20,"Data Analysis,Sewing,Electrical Repair",6,5,6,8,3,10,3,Chef
user_0088,Reading,Singing,Doctorate,34,"Data Analysis,Critical Thinking,Programming",4,7,2,5,3,7,10,Data Scientist
user_0089,Collecting,Reading,Doctorate,57,"Data Analysis,Foreign Languages,Project Management,Time Management,Sewing",10,4,6,8,7,6,7,UX Designer
user_0090,Reading,Chess,Bachelor's,59,"Time Management,AI Prompt Engineering,Writing,Public Speaking,Carpentry",7,8,5,7,6,3,5,Statistician
user_0091,Chess,Origami,Associate's,62,"Public Speaking,Empathy,Writing",5,8,5,8,4,4,5,AI Engineer
user_0092,Astronomy,Rock Climbing,Doctorate,61,"Conflict Resolution,Digital Marketing",7,8,4,8,4,3,7,Cybersecurity Specialist
user_0093,Writing,Hiking,Bachelor's,31,"Empathy,Writing,Sewing,Leadership,Conflict Resolution",8,6,9,4,5,10,2,Journalist
user_0094,Acting,Board Games,Master's,54,"Carpentry,Photography",7,10,1,2,5,6,6,AI Engineer
user_0095,Travel,Chess,Associate's,47,"Financial Literacy,UI/UX Design,Data Analysis,Driving,Programming",5,9,9,5,6,6,2,HR Manager
user_0096,Gaming,Dancing,Associate's,28,"Empathy,Robotics,Cybersecurity,Graphic Design",8,5,5,9,5,5,7,Sales Representative
user_0097,Photography,Skiing,Vocational,61,"First Aid,Financial Literacy,Foreign Languages",9,6,7,8,5,6,10,Plumber
user_0098,Music,Playing Guitar,Associate's,56,"Cybersecurity,Financial Literacy,First Aid,Foreign Languages",8,6,5,5,4,4,8,Actor
user_0099,Volunteering,Singing,Master's,43,"Programming,Leadership",10,6,6,5,4,7,9,Dentist
user_0100,Writing,Fishing,Associate's,58,"Conflict Resolution,First Aid,Financial Literacy,Cybersecurity",6,4,3,4,2,6,9,Pilot
user_0101,Film,Fishing,Doctorate,26,"Financial Literacy,Writing",8,9,4,5,5,8,4,AI Engineer
user_0102,Animals,Singing,Vocational,39,"Driving,Singing,Financial Literacy",7,8,7,4,6,5,5,HR Manager
user_0103,Dancing,Bird Watching,Vocational,65,"Empathy,Research,Singing,Sewing",9,4,6,10,8,6,9,Chef
user_0104,Languages,Origami,Associate's,41,"Time Management,Critical Thinking,Electrical Repair,Conflict Resolution",4,6,5,7,3,3,6,Lawyer
user_0105,Chess,Hiking,Master's,25,"Leadership,Critical Thinking,Foreign Languages,Public Speaking,Conflict Resolution",9,7,10,5,3,5,7,Pilot
user_0106,Gardening,Rock Climbing,Doctorate,29,"Writing,Cooking",5,8,4,6,3,7,2,Civil Engineer
user_0107,Environment,Cooking,Master's,28,"Research,Sewing,Graphic Design,Project Management,AI Prompt Engineering",7,2,8,6,4,4,6,Environmental Scientist
user_0108,Fitness,Volunteering,Bachelor's,23,"Empathy,First Aid,Critical Thinking",4,9,5,5,5,6,3,Registered Nurse
user_0109,Cooking,Photography,High School,37,"Electrical Repair,Empathy,Leadership,AI Prompt Engineering",9,5,7,9,5,4,8,Chef
user_0110,Travel,Cooking,Bachelor's,19,"Digital Marketing,Empathy,Project Management",5,6,8,9,6,6,9,Environmental Scientist
user_0111,Cars,Astronomy,High School,42,"Sewing,Singing,AI Prompt Engineering,Public Speaking",7,2,10,8,6,5,7,HR Manager
user_0112,Entrepreneurship,Cycling,Master's,34,"Cybersecurity,Project Management,Photography,Driving,Financial Literacy",5,7,8,9,5,7,9,Farm Worker
user_0113,Psychology,Painting,Bachelor's,24,"Critical Thinking,Data Analysis",10,6,7,5,8,4,7,Biomedical Engineer
user_0114,Technology,Scuba Diving,Bachelor's,36,"Public Speaking,Singing,Writing",8,8,6,6,4,5,7,Financial Analyst
user_0115,Dancing,Singing,Master's,60,"Project Management,Graphic Design,Sewing,Leadership,Empathy",7,10,3,6,4,4,8,UX Designer
user_0116,Cooking,Reading,Doctorate,42,"First Aid,Empathy,Critical Thinking",3,5,4,5,6,7,7,Registered Nurse
user_0117,Sports,Origami,Doctorate,23,"Robotics,Cooking,Carpentry,Data Analysis",1,10,2,4,5,4,7,Biomedical Engineer
user_0118,Chess,Astronomy,Vocational,25,"Cybersecurity,Empathy,Public Speaking",9,8,4,5,3,6,7,Journalist
user_0119,Photography,Drawing,Associate's,35,"Graphic Design,Creativity,UI/UX Design",10,8,9,3,3,9,5,Graphic Designer
user_0120,Animals,Playing Guitar,Doctorate,39,"Foreign Languages,Driving",9,2,6,7,3,6,9,Mechanic
user_0121,Magic,Rock Climbing,Associate's,32,"Critical Thinking,First Aid",8,7,4,6,5,3,6,Registered Nurse
user_0122,Entrepreneurship,Knitting,Vocational,23,"Electrical Repair,Research,Time Management,Graphic Design,Conflict Resolution",6,6,2,7,4,9,4,Journalist
user_0123,Reading,Gardening,Master's,53,"Robotics,Graphic Design",7,5,7,7,5,5,6,AI Engineer
user_0124,Technology,Singing,High School,32,"Cooking,Singing,Sewing,AI Prompt Engineering,Writing",9,3,7,9,3,6,8,Psychologist
user_0125,Meditation,Skiing,Associate's,53,"Cybersecurity,Data Analysis,Public Speaking,Weightlifting",8,4,6,5,5,8,3,Construction Worker
user_0126,Travel,Cycling,Bachelor's,31,"Robotics,Research,Photography,Cybersecurity,Cooking",9,6,4,7,7,4,8,Financial Analyst
user_0127,Animals,Pottery,Vocational,49,"Leadership,Empathy",5,9,5,5,4,8,3,Dentist
user_0128,Animals,Cooking,Doctorate,26,"Video Editing,Driving",10,5,5,6,7,4,6,HR Manager
user_0129,Psychology,Board Games,Vocational,35,"Cooking,Critical Thinking,Electrical Repair,Research,Project Management",6,7,5,7,2,5,8,UX Designer
user_0130,DIY,Traveling,Master's,58,"Photography,AI Prompt Engineering,Cybersecurity",9,8,6,8,6,4,5,HR Manager
user_0131,Dancing,Board Games,Associate's,53,"Time Management,Driving,Cybersecurity,Foreign Languages,Empathy",6,9,3,4,5,5,6,HR Manager
user_0132,Acting,Gardening,Doctorate,21,"First Aid,Sewing,Research",6,9,10,6,4,5,7,AI Engineer
user_0133,Gaming,Gardening,Associate's,46,"AI Prompt Engineering,Conflict Resolution",6,7,6,9,5,5,7,Environmental Scientist
user_0134,Film,Gardening,Bachelor's,42,"Research,Driving,Cooking,Singing,Public Speaking",8,9,3,8,4,6,6,HR Manager
user_0135,Animals,Running,Doctorate,56,"Sewing,Empathy,Photography",10,6,8,7,6,7,4,Environmental Scientist
user_0136,Volunteering,Chess,Master's,38,"Empathy,Leadership",6,5,4,7,4,6,10,Elementary Teacher
user_0137,Film,Yoga,Bachelor's,54,"Graphic Design,Research,Cybersecurity,Cooking",9,6,8,4,6,3,9,Cybersecurity Specialist
user_0138,Gaming,Running,Bachelor's,23,"Digital Marketing,Weightlifting,Photography,Driving",5,10,1,3,6,3,7,Lawyer
user_0139,Gaming,Singing,Doctorate,18,"Driving,Negotiation",10,4,10,6,7,5,5,Pilot
user_0140,Magic,Astronomy,High School,42,"Singing,Empathy,Critical Thinking,Programming",9,3,10,7,5,9,3,AI Engineer
user_0141,Chess,Skiing,Vocational,38,"Data Analysis,Carpentry",4,7,8,10,6,6,9,Chef
user_0142,Dancing,Hiking,Master's,62,"Financial Literacy,Robotics,Graphic Design,Empathy,Driving",7,7,7,10,4,4,7,Cybersecurity Specialist
user_0143,Sports,Fitness,Associate's,48,"Critical Thinking,First Aid,Empathy",7,9,8,4,2,4,5,Registered Nurse
user_0144,Entrepreneurship,Rock Climbing,Master's,27,"Critical Thinking,Programming,Data Analysis",9,6,8,6,5,10,4,Data Scientist
user_0145,Photography,Painting,Doctorate,43,"Financial Literacy,Project Management,Critical Thinking,Driving",6,8,7,7,5,3,4,Architect
user_0146,Gaming,Video Gaming,Doctorate,45,"Critical Thinking,Programming,Data Analysis",8,10,4,9,5,7,7,Software Engineer
user_0147,Dancing,Cooking,Doctorate,54,"Conflict Resolution,Sewing",9,4,7,4,4,5,7,Financial Analyst
user_0148,Animals,Volunteering,Doctorate,37,"Empathy,Public Speaking",7,7,3,6,2,6,9,Elementary Teacher
user_0149,Animals,Painting,Master's,54,"Research,Cooking,Foreign Languages,Carpentry",9,7,6,5,5,5,6,HR Manager
user_0150,Film,Baking,Associate's,48,"Electrical Repair,Negotiation,Sewing,Critical Thinking,Writing",8,8,6,7,8,5,7,Civil Engineer
user_0151,Gaming,Hiking,Associate's,64,"Empathy,Graphic Design",7,6,5,8,4,5,5,Statistician
user_0152,Magic,Gardening,Master's,34,"Financial Literacy,Sewing,Project Management,Negotiation,Video Editing",7,4,5,4,5,6,9,Financial Analyst
user_0153,Entrepreneurship,Playing Guitar,Master's,48,"Data Analysis,Programming,Critical Thinking",9,8,3,4,4,7,7,Data Scientist
user_0154,Environment,Bird Watching,Vocational,22,"Negotiation,Digital Marketing,Public Speaking,Driving",6,4,7,8,4,6,6,Electrician
user_0155,Animals,Pottery,Associate's,38,"First Aid,Empathy,Critical Thinking",5,9,9,8,4,6,7,Registered Nurse
user_0156,Photography,Pottery,Bachelor's,40,"Writing,Research,Weightlifting,AI Prompt Engineering",5,7,2,4,3,4,8,UX Designer
user_0157,Cars,Chess,Vocational,27,"Carpentry,Negotiation,AI Prompt Engineering",6,6,5,7,5,7,4,Social Worker
user_0158,Travel,Meditation,Vocational,59,"Programming,Digital Marketing,Public Speaking,Project Management,Time Management",10,4,8,3,5,2,7,Pilot
user_0159,Magic,Knitting,Bachelor's,40,"Empathy,Critical Thinking",10,7,6,6,5,9,5,Registered Nurse
user_0160,Languages,Meditation,Vocational,57,"Carpentry,Empathy,Driving,Cooking",7,1,7,8,2,5,9,Civil Engineer
user_0161,Dancing,Reading,Vocational,51,"Robotics,Project Management,AI Prompt Engineering,Data Analysis,Carpentry",6,10,8,4,3,8,7,Civil Engineer
user_0162,Technology,Board Games,Doctorate,40,"Programming,Data Analysis,Critical Thinking",7,5,5,5,4,8,5,Data Scientist
user_0163,Acting,Chess,Bachelor's,32,"Critical Thinking,AI Prompt Engineering",10,3,9,4,7,5,7,Lawyer
user_0164,Dancing,Pottery,High School,42,"Cybersecurity,Research,Cooking",8,6,3,7,4,5,4,Social Worker
user_0165,Collecting,Running,Bachelor's,54,"AI Prompt Engineering,First Aid,Driving,Video Editing",8,10,3,6,3,5,6,Marketing Manager
user_0166,Gaming,Bird Watching,Associate's,37,"Sewing,Cybersecurity,Video Editing,Empathy",5,9,5,6,4,6,5,Architect
user_0167,Entrepreneurship,Astronomy,Associate's,53,"Carpentry,Video Editing",6,8,1,6,5,4,6,Social Worker
user_0168,Technology,Gardening,Doctorate,43,"Critical Thinking,Programming,Data Analysis",8,4,6,5,8,5,6,Data Scientist
user_0169,Art,Astronomy,Master's,50,"AI Prompt Engineering,Carpentry,Driving",5,8,3,7,2,9,3,Financial Analyst
user_0170,Entrepreneurship,Dancing,Doctorate,43,"Time Management,Photography,Leadership,Programming,Empathy",6,7,5,3,4,10,5,Environmental Scientist
user_0171,Meditation,Chess,Vocational,56,"Electrical Repair,UI/UX Design,Video Editing",8,8,4,7,5,6,6,Construction Worker
user_0172,Writing,Pottery,Associate's,39,"Research,Leadership",9,7,1,7,4,4,10,Architect
user_0173,Environment,Playing Guitar,Associate's,47,"Weightlifting,Time Management,Conflict Resolution,Programming,Writing",6,6,8,9,3,4,7,Pilot
user_0174,Technology,Pottery,Master's,18,"Digital Marketing,Critical Thinking,Graphic Design,Video Editing",4,8,4,6,5,4,6,Lawyer
user_0175,Chess,Meditation,Associate's,29,"Writing,Empathy,Photography",4,8,5,8,2,6,5,Financial Analyst
user_0176,History,Dancing,Vocational,24,"UI/UX Design,Graphic Design",3,9,3,3,5,5,4,Cybersecurity Specialist
user_0177,Gardening,Bird Watching,Master's,35,"Carpentry,Sewing,UI/UX Design,Leadership,First Aid",10,9,4,3,4,5,10,Biomedical Engineer
user_0178,Gaming,Gardening,Master's,40,"Conflict Resolution,Driving,Sewing,Carpentry,Electrical Repair",10,8,7,6,3,5,7,Pilot
user_0179,Animals,Cycling,Associate's,41,"Carpentry,Singing,First Aid,Digital Marketing",2,8,2,8,4,4,7,AI Engineer
user_0180,Travel,Swimming,Doctorate,41,"Conflict Resolution,Video Editing,First Aid,Electrical Repair",4,8,8,7,4,3,8,Lawyer
user_0181,Photography,Running,Bachelor's,42,"Project Management,Research,Empathy",10,4,5,4,3,5,7,Actor
user_0182,Collecting,Skiing,Master's,52,"Research,Writing,Critical Thinking,First Aid",8,5,9,8,5,5,5,Statistician
user_0183,Meditation,Chess,Bachelor's,58,"Electrical Repair,Empathy",5,7,6,8,5,7,8,Financial Analyst
user_0184,Music,Swimming,High School,40,"Time Management,Financial Literacy,Singing",10,6,9,6,4,10,3,Construction Worker
user_0185,Writing,Knitting,Master's,36,"Financial Literacy,Project Management,Conflict Resolution,Carpentry,Research",5,4,6,9,5,4,8,Statistician
user_0186,Photography,Photography,Bachelor's,28,"Creativity,UI/UX Design,Graphic Design",5,10,2,7,5,5,7,Graphic Designer
user_0187,Cooking,Knitting,High School,24,"UI/UX Design,Weightlifting",7,9,5,3,6,5,6,Financial Analyst
user_0188,Acting,Traveling,Master's,36,"Leadership,Empathy",3,8,4,8,5,5,7,Elementary Teacher
user_0189,Technology,Rock Climbing,Associate's,48,"Conflict Resolution,Singing,UI/UX Design,First Aid,Electrical Repair",9,10,2,5,4,6,7,Dentist
user_0190,Volunteering,Skiing,Doctorate,52,"UI/UX Design,Negotiation,Writing,Singing",5,9,4,6,3,5,7,Lawyer
user_0191,Fitness,Reading,High School,51,"Negotiation,Critical Thinking,Writing",6,8,6,7,3,10,1,Civil Engineer
user_0192,Fitness,Collecting Stamps,Vocational,18,"Photography,Foreign Languages,Weightlifting,Singing",10,8,7,7,3,9,3,Actor
user_0193,Writing,Swimming,Doctorate,33,"Critical Thinking,Financial Literacy,Empathy,Singing",5,9,2,6,8,7,9,Marketing Manager
user_0194,Animals,Crafts,Bachelor's,42,"Public Speaking,Leadership",5,8,8,5,7,6,10,Elementary Teacher
user_0195,Fashion,Baking,High School,32,"Project Management,Programming",9,4,7,6,6,7,9,HR Manager
user_0196,Psychology,Astronomy,High School,39,"Robotics,Sewing",3,9,2,5,3,5,5,Farm Worker
user_0197,Meditation,Knitting,Associate's,44,"Graphic Design,Creativity,UI/UX Design",9,6,8,6,5,6,4,Graphic Designer
user_0198,Entrepreneurship,Writing,Associate's,38,"Financial Literacy,Empathy,Public Speaking",5,4,5,7,3,5,9,Pilot
user_0199,Chess,Gardening,Doctorate,31,"Digital Marketing,Financial Literacy",6,5,3,7,6,6,10,Construction Worker
user_0200,Languages,Playing Guitar,High School,20,"Cybersecurity,AI Prompt Engineering,Project Management,Negotiation,Sewing",8,9,10,7,4,8,9,AI Engineer
user_0201,Environment,Skiing,High School,21,"Financial Literacy,Project Management,Cybersecurity,Singing",7,4,5,6,3,7,4,UX Designer
user_0202,Chess,Video Gaming,Doctorate,30,"Cybersecurity,Video Editing",5,6,2,4,6,4,7,Actor
user_0203,Gaming,Scuba Diving,Bachelor's,30,"Singing,Negotiation,Cooking",10,6,10,4,1,5,5,Chef
user_0204,Fashion,Yoga,Associate's,52,"Electrical Repair,Programming,Sewing,Financial Literacy",10,3,7,7,7,8,7,Civil Engineer
user_0205,Gardening,Baking,High School,60,"Photography,Leadership,Driving,Writing,Sewing",5,7,8,6,2,8,8,Electrician
user_0206,Film,Singing,Bachelor's,24,"Public Speaking,Empathy",10,3,6,6,3,9,3,Elementary Teacher
user_0207,Psychology,Meditation,Associate's,21,"Digital Marketing,AI Prompt Engineering,Cybersecurity,Graphic Design",10,4,7,6,6,6,8,Biomedical Engineer
user_0208,DIY,Origami,Bachelor's,41,"Robotics,AI Prompt Engineering",6,10,5,7,3,10,5,Architect
user_0209,Dancing,Cycling,Doctorate,32,"Photography,Leadership,Driving,Digital Marketing,Time Management",7,8,6,2,3,6,7,Social Worker
user_0210,Fashion,Scuba Diving,Doctorate,45,"Carpentry,Research",8,8,4,4,6,4,10,Dentist
user_0211,Fashion,Traveling,Associate's,38,"Conflict Resolution,Negotiation,Foreign Languages,Sewing",6,6,2,7,2,4,6,Biomedical Engineer
user_0212,Environment,Running,Doctorate,34,"Electrical Repair,Video Editing,Programming,Empathy",7,7,4,4,6,4,8,AI Engineer
user_0213,Technology,Fishing,Doctorate,30,"Data Analysis,Programming,Critical Thinking",10,9,8,5,4,5,6,Software Engineer
user_0214,Animals,Playing Guitar,Vocational,34,"Graphic Design,Time Management,Video Editing,UI/UX Design",10,6,9,6,4,6,5,Statistician
user_0215,Magic,Cycling,Master's,59,"Public Speaking,Empathy,Research,Time Management",9,5,7,7,5,10,4,Cybersecurity Specialist
user_0216,Collecting,Cycling,Vocational,65,"Financial Literacy,Sewing",4,10,5,7,2,5,3,UX Designer
user_0217,Acting,Fishing,Master's,62,"Project Management,Public Speaking,Driving",3,9,5,8,6,5,8,Sales Representative
user_0218,Fitness,Astronomy,Bachelor's,27,"Cooking,Graphic Design,Writing",9,7,3,6,3,5,10,Lawyer
