id,career_title,industry_category,median_salary_usd,education_level,skills_required,job_growth_outlook
88,Forklift Operator,Manufacturing,"$35,000",High School,"Equipment Operation, Safety",Low
89,Fundraiser,Non-Profit,"$55,000",Bachelor's,"Communication, Networking",Medium
90,Game Developer,Technology,"$90,000",Bachelor's,"Programming, Creativity",High
91,Garbage Collector,Public Services,"$40,000",High School,"Physical Labor, Reliability",Low
92,Gastroenterologist,Healthcare,"$400,000",Doctorate,"Digestive System, Diagnostics",High
93,Gemologist,Science,"$50,000",Associate's,"Jewelry Appraisal, Geology",Low
94,Genetic Counselor,Healthcare,"$80,000",Master's,"Genetics, Counseling",High
95,Geographer,Science,"$75,000",Bachelor's,"GIS, Research",Low
96,Geologist,Science,"$90,000",Bachelor's,"Earth Science, Field Work",Medium
97,Graphic Designer,Creative,"$50,000",Bachelor's,"Adobe Suite, Creativity",Medium
98,Guidance Counselor,Education,"$60,000",Master's,"Counseling, Education",Medium
99,Hairdresser,Personal Services,"$35,000",Vocational,"Hair Styling, Customer Service",Medium
100,Historian,Education,"$60,000",Master's,"Research, Writing",Low
